Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 22918ms | tok/sec: 22,876 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 306ms | tok/sec: 1,710,675 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 310ms | tok/sec: 1,689,578 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971713 | lrm: 1.00 | dt: 356ms | tok/sec: 1,472,961 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578771 | lrm: 1.00 | dt: 373ms | tok/sec: 1,406,540 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248857 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,062 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998090 | lrm: 1.00 | dt: 351ms | tok/sec: 1,494,288 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787108 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,617 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607025 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,638 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455187 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,737 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325422 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,791 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217121 | lrm: 1.00 | dt: 342ms | tok/sec: 1,532,781 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120771 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,852 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034944 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,015 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962829 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,169 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898231 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,730 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842109 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,567 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787625 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,348 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738675 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,897 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.693112 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,634 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650739 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,560 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610196 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,243 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574263 | lrm: 1.00 | dt: 343ms | tok/sec: 1,526,839 | mfu: 36.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536748 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,707 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500849 | lrm: 1.00 | dt: 349ms | tok/sec: 1,500,703 | mfu: 36.3% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.468040 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,882 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.436949 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,226 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.406570 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,340 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.378506 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,764 | mfu: 40.0% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.349793 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,497 | mfu: 35.2% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.319297 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,122 | mfu: 37.9% | epoch: 1 | remaining: 293s    
